name,cell,school,class,time,distance,components,duration,description,upgrade,time_filter,distance_filter,components_filter,duration_filter
Общение,5,Прорицание,Жрец,1 минута или ритуал,На себя,"Вербальный, Соматический, Материальный (ладан)",1 минута,"Вы связываетесь со своим божеством или его представителем и задаёте до трёх вопроса, на которые можно ответить «да» или «нет». Вы должны задать вопросы до окончания длительности заклинания. На каждый вопрос вы получаете корректный ответ. Божественные создания не всегда всеведущи, поэтому вы можете получить ответ «неясно», если вопрос находится вне компетенции божества. Если односложный ответ может ввести в заблуждение или противоречит интересам божества, то Мастер может выдать короткую фразу. Если вы накладываете это заклинание несколько раз до завершения продолжительного отдыха, то существует накопительный шанс 25 процентов за каждое использование, начиная со второго, что вы не получите ответ.",NaN,"1 минута, Ритуал",На себя,"Вербальный, Соматический, Материальный не расходуемый",Минута
Общение с природой,5,Прорицание,"Друид, следопыт",1 минута или ритуал,На себя,"Вербальный, Соматический",Мгновенная,"Вы общаетесь с духами природы и получаете
знание о ближайшей территории. На открытой местности заклинание даёт вам знание о территории в пределах 3 миль от вас. В пещерах и других природных подземных локациях радиус ограничен 300 футами. Заклинание не действует в местах, где природа была заменена на строительные конструкции, такие как замки и поселения. Выберите три из следующих фактов; вы узнаете эти факты в пределах области действия заклинания: \n• Расположение поселений \n• Расположение порталов на другие планы существования \n• Расположение одного существа с ПО 10+ (на выбор Мастера), которое является небожителем, элементалем, феей, исчадием или нежитью \n• Наиболее распространённый вид растений, минералов или зверей (вы выбираете, о чем узнать) \n• Расположение водоёмов Например, вы можете определить местоположение мощного монстра в области, местоположение водоёмов и местоположение любых поселений.",NaN,"1 минута, Ритуал",На себя,"Вербальный, Соматический",Мгновенно
Преграда жизни,5,Ограждение,Друид,Действие,На себя,"Вербальный, Соматический","Концентрация, до 1 часа","Аура распространяется от вас в пределах
10-футовой эманации на всю продолжительность
длительности заклинания. Аура не позволяет существам, кроме конструктов и нежити, проникнуть внутрь полностью или частично. Подвергшееся воздействию существо может использовать
заклинания или совершать атаки дальнобойным
или оружием со свойством досягаемость через
барьер.
Если вы перемещаетесь так, что существо под
воздействием заклинания вынуждено пройти
сквозь барьер, то заклинание заканчивается.",NaN,Действие,На себя,"Вербальный, Соматический",Концентрация больше минуты
Пробуждение разума,5,Преобразование,"Бард, друид",8 часов,Касание,"Вербальный, Соматический, Материальный (агат стоимостью 1 000+ зм, расходуемый заклинанием)
",Мгновенная,"Потратив время на прокладывание магических
каналов в драгоценном камне, вы касаетесь им
цели. Целью должна быть либо существо с типом
зверь или растение и с Интеллектом 3 или ниже,
либо обычное растение, которое не является
существом. Цель получает Интеллект 10 и способность говорить на одном известном вам языке.
Если цель обычное растение не существо, то оно
становится существом с типом растение, приобретает способность двигать своими конечностями, корнями, лианами, побегами и так далее, а
также получает чувства, подобные человеческим.
Мастер выбирает подходящий статблок для такого растения, такой как Пробужденный куст или
Пробужденное дерево из Бестиария. Пробужденное существо получает состояние очарованный на
30 дней или до тех пор, пока вы или ваши союзники не нанесете ему урон. Когда это состояние
заканчивается, то пробужденное существо само
решает, каким будет его отношение к вам.",NaN,Более минуты,Касание,"Вербальный, Соматический, Материальный расходуемый",Мгновенно
Вызов залпа,5,Вызов,Следопыт,Действие,150 футов,": Вербальный, Соматический,
Материальный (рукопашное или дальнобойное
оружие стоимостью 1+ мм)",Мгновенная,"Вы взмахиваете оружием, используемым для
наложения заклинания, и выбираете точку в
пределах дистанции. Сотни подобных друг другу
призрачных оружий (или соответствующих этому
оружию боеприпасов) падают залпом и затем исчезают. Каждое существо на ваш выбор, которое
вы видите в цилиндре с 40-футовым радиусом
и 20-футовой высотой, с центром на этой точке,
совершает спасбросок Ловкости. Существо получает 8к8 урона силовым полем при неудачном
спасброске или половину этого урона при успешном.",NaN,Действие,120 фт и больше,"Вербальный, Соматический, Материальный расходуемый",Мгновенно
Заражение,5,Некромантия,"Друид, жрец",Действие,Касание,"Вербальный, Соматический",7 дней,"Ваше касание накладывает магическое заражение. Цель должна преуспеть в спасброске
Телосложения или получить 11к8 урона некротической энергией и состояние отравленный. Также
выберите одну характеристику при накладывании заклинания. Пока цель отравлена, она имеет
помеху на спасброски, связанные с выбранной
характеристикой.
Цель должна повторять спасбросок в конце
каждого своего хода до тех пор, пока не наберёт
три успеха или три провала. Если цель преуспела
в трёх спасбросках, то заклинание заканчивается
на ней. Если цель провалила три спасброска, то
заклинание действует на неё в течение 7 дней.
Каждый раз, когда отравленная цель получает
эффект, который должен снять состояние отравленного, цель должна преуспеть в спасброске
Телосложения, иначе состояние отравленного не
заканчивается.",NaN,Действие,Касание,"Вербальный, Соматический",Больше минуты
Рассеивание добра и зла,5,Ограждение,"Жрец, паладин",Действие,На себя,"Вербальный, Соматический,
Материальный (порошок серебра и железа)","Концентрация, до 1 минуты","На время действия заклинания небожители,
элементали, феи, исчадия и нежить получают по-
меху на броски атаки против вас. Вы можете за-
вершить действие заклинания досрочно, исполь-
зуя одну из следующих специальных функций.
Разрушение чар. Используя действие магия,
вы касаетесь существа, которое одержимо или
находится под воздействием состояний очарован-
ный или испуганный от одного или нескольких
существ вышеуказанных типов. Цель перестаёт
быть одержимой, очарованой или испуганой та-
кими существами.
Изгнание. Используя действие магия, вы на-
целиваетесь на одно существо, которое видите
в пределах 5 футов от себя, принадлежащее к
одному из указанных выше типов существ. Цель
должна пройти спасбросок Харизмы, иначе будет
отправлена обратно на свой родной план, если
она уже не находится там. Если они не на своём
родном плане, нежить отправляется в Царство
теней, а феи — в Страну фей.",NaN,Действие,На себя,"Вербальный, Соматический, Материальный не расходуемый",Концентрация минуту и менее
Высшее восстановление,5,Ограждение,"Бард, жрец, друид, паладин, следопыт",Действие,касание,"Вербальный, Соматический, Материальный (алмазная пыль стоимостью не менее
100 зм, расходуемая заклинанием)",Мгновенная,"Вы касаетесь существа и магически снимаете с
него один из следующих эффектов:
• 1 степень истощения
• Состояние очарованный или окаменевший
• Проклятие, включая настройку цели на проклятый магический предмет
• Любое уменьшение одной из характеристик
цели
• Любое уменьшение максимума хитов цели",NaN,Действие,Касание,"Вербальный, Соматический, Материальный расходуемый",Мгновенно
Небесный огонь,5,Воплощение,Жрец,Действие,60 футов,"Вербальный, Соматический,
Материальный (щепотка серы)",Мгновенная,"Вертикальный столб ослепительного огня с ревом нисходит сверху. Каждое существо в цилиндре с центром в пределах дистанции с 10-футовым радиусом и 40-футовой высотой совершает
спасбросок Ловкости. При провале спасброска
существо получает 5к6 урона огнём и 5к6 урона
излучением или половину этого урона при успешном спасброске.","Урон огнём и урон излучением увеличиваются на
1к6 за каждую ячейку заклинаний выше 5.",Действие,60-119 фт,"Вербальный, Соматический, Материальный не расходуемый",Мгновенно
Святилище,5,Ограждение,Жрец,24 часа,касание,"Вербальный, Соматический, 
Материальный (благовония стоимостью 1000+ зм, 
расходуемые заклинанием)
",Пока не будет рассеяно,"Вы касаетесь точки и наполняете область вокруг неё святой или нечестивой силой. Область 
может иметь радиус до 60 футов. Заклинание 
проваливается, если в этот радиус попадает 
область, уже находящаяся под действием заклинания Святилище. Наполненная область подвергается следующим эффектам:
Освящённый оберег. Выберите один из следующих типов существ: аберрация, небожитель, 
элементаль, фея, исчадие или нежить. Существа 
выбранного типа не могут добровольно войти в 
область, и любое существо, которое находится под 
контролем или под действием состояния очарованный или испуганный от таких существ, не 
является под контролем, очарованным или испуганным ими, пока находится в этой области.
Дополнительный эффект. Вы связываете 
дополнительный эффект с областью из приведённого ниже списка:
Храбрость. Существа любых выбранных вами 
типов не могут получить состояние испуганный, 
находясь в этой области.
Тьма. Тьма заполняет область. Обычный свет, а 
также магический свет, созданный заклинаниями уровня ниже этого, не могут осветить область.
Дневной свет. Яркий свет заполняет область. 
Магическая тьма, созданная заклинаниями уровня ниже этого, не может погасить свет.
Мирный покой. Мёртвые тела, погребённые в 
этой области, не могут быть превращены в нежить.
Внеземное вмешательство. Существа любых 
выбранных вами типов не могут входить или 
покидать область, используя телепортацию или 
межпланарные перемещения.
Страх. Существа любых выбранных вами типов получают состояние испуганный, находясь в 
этой области.
Сопротивление. Существа любых выбранных 
вами типов получают сопротивление к одному 
типу урона на ваш выбор, находясь в этой области.
Тишина. Звуки не могут исходить из этой области и не могут проникать в неё.
Языки. Существа любых выбранных вами типов могут общаться с любым другим существом в 
этой области, даже если они не разделяют общий 
язык.
Уязвимость. Существа любых выбранных 
вами типов получают уязвимость к одному типу 
урона на ваш выбор, находясь в этой области.
",NaN,Более минуты,Касание,"Вербальный, Соматический, Материальный расходуемый",Пока не рассеется
Возрождение,5,Некромантия,"Бард, жрец, паладин",1 час,Касание,"Вербальный, Соматический, Ма
териальный (алмаз стоимостью 500+ зм, расходу
емый заклинанием)",Мгновенно,"Вы касаетесь мёртвого существа, которое умер
ло не более 10 дней назад и не являлось нежитью 
в момент смерти. 
Существо возвращается к жизни с 1 хитом. Это 
заклинание также нейтрализует любые яды, воз
действовавшие на существо в момент его смерти.
 Это заклинание закрывает все смертельные 
раны, но не восстанавливает недостающие части 
тела. Если у существа отсутствуют части тела или 
органы, необходимые для выживания (например, 
голова), то заклинание автоматически провалива
ется.
 Возвращение из мёртвых — тяжёлое испыта
ние. Цель получает штраф -4 ко всем D20 Тестам. 
Каждый раз, когда цель завершает продолжитель
ный отдых, то штраф уменьшается на 1, пока не 
станет равен 0.",NaN,Более минуты,Касание,"Вербальный, Соматический, Материальный расходуемый",Мгновенно
Реинкарнация,5,Некромантия,Друид,1 час,Касание,"Вербальный, Соматический, 
Материальный (редкие масла стоимостью 1 000+ 
зм, расходуемые заклинанием)",Мгновенная,"Вы касаетесь мёртвого гуманоидa или его ча
сти. Если существо мертво не более 10 дней, то 
заклинание создаёт для него новое тело и при
зывает душу войти в это тело. Бросьте 1к10 и 
воспользуйтесь таблицей ниже, чтобы определить 
вид тела, или Мастер выбирает другой доступный 
вид.
 1к10 Вид
 1 Аасимар
 2 Драконорожденный 
3 Голиаф
 4 Дварф
 5 Эльф
 6 Гном
 7 Полурослик
8 Человек
9 Орк
 10 Тифлинг
Перерождённое существо делает любые вы
боры, которые предлагает описание его вида, и 
помнит свою прежнюю жизнь. Оно сохраняет 
способности, которые имело в своей первоначаль
ной форме, за исключением того, что оно теряет 
особенности своего предыдущего вида и приобре
тает особенности нового.",NaN,Более минуты,Касание,"Вербальный, Соматический, Материальный расходуемый",Мгновенно
Вызов элементаля,5,Вызов,"Друид, волшебник",Действие,60 футов,"Вербальный, Соматический","Концентрация, до 10 минут","Вы вызываете большое, неосязаемое существо 
с Планов Стихий, которое появляется в незаня
том пространстве в пределах дистанции. Выбери
те стихию существа, которая определяет тип его 
урона: воздух (электрический), земля (звуковой), 
огонь (огненный) или вода (холодный). Существо 
существует на протяжении действия заклинания.
 Каждый раз, когда существо, которое вы ви
дите, входит в пространство духа или начинает 
свой ход в пределах 5 футов от духа, то вы може
те заставить это существо совершить спасбросок 
Ловкости, если дух не опутал какое-либо другое 
существо. При провале цель получает 8к8 урона 
тип которого зависит от типа духа и она получает 
состояние опутанный до конца действия закли
нания. В начале каждого своего хода опутанное 
существо повторяет спасбросок. При провале 
цель получает 4к8 урона тип которого зависит 
от типа духа. При успешном спасброске цель не 
опутана духом.","Урон увеличивается на 2к8 за каждый уровень 
ячейки выше 5.",Действие,60-119 фт,"Вербальный, Соматический",Концентрация больше минуты
Длань Бигби,5,Воплощение,Волшебник,Действие,120 футов,"Вербальный, Соматический, Ма
териальный (яичная скорлупа и перчатка)","Концентрация, до 1 минуты"," Вы создаёте руку большого размера из мерца
ющей магической энергии в свободном простран
стве, которое вы видите в пределах дистанции. 
Рука существует на протяжении длительности 
заклинания и двигается по вашему приказу, ими
тируя движения вашей собственной руки.
 Рука — это объект с КД 20 и Хитами, равными 
вашему максимальному количеству Хитов. Если 
хиты руки опускается до 0, заклинание заканчи
вается. Рука не занимает пространство, в кото
ром находится.
 Когда вы накладываете заклинание и бонусным 
действием на ваших последующих ходах, вы мо
жете переместить руку на расстояние до 60 футов 
и вызвать одно из следующих действий:
 Сжатый кулак. Рука наносит удар по цели в 
пределах 5 футов от неё. Совершите рукопашную 
атаку заклинанием. При попадании цель получа
ет 5к8 урона силовым полем.
 Могучая длань. Рука пытается толкнуть суще
ство огромного или меньшего размера в пределах 
5 футов от неё. Цель должна преуспеть в спасбро
ске Силы, иначе рука толкает её на 5 футов плюс 
количество футов, равное модификатору вашей 
заклинательной характеристики, умноженному 
на 5. Рука движется вместе с целью, оставаясь в 
пределах 5 футов от неё.
 Сжимающая длань. Рука пытается схватить 
существо огромного или меньшего размера в пре
делах 5 футов от неё. Цель должна преуспеть в 
спасброске Ловкости, иначе цель получает состо
яние схваченный, со Сл освобождения, равной Сл 
спасброска ваших заклинаний. Пока рука дер
жит цель, вы можете бонусным действием заста
вить руку сжать её, нанося дробящий урон цели в 
размере 4к6 плюс ваш модификатор заклинатель
ной характеристики.
 Преграждающая длань. Рука предоставляет 
вам укрытие на половину от атак и других эф
фектов, которые исходят из её пространства или 
проходят через него. Кроме того, её пространство 
считается труднопроходимой местностью для 
ваших врагов.","Урон от Сжатого кулака увеличивается на 2к8 и урон от 
Сжимающей длани увеличивается на 2к6 за каж
дый уровень ячейки заклинания выше 5го.",Действие,120 фт и больше,"Вербальный, Соматический, Материальный не расходуемый",Концентрация минуту и менее
Конус холода,5,Воплощение,"Друид, волшебник, чародей",Действие,На себя,"Вербальный, Соматический, 
Материальный (небольшой кристаллический или 
стеклянный конус)",Мгновенная,"Вы испускаете поток холодного воздуха. Ка
ждое существо в конусе 60 футов, исходящем от 
вас, должно совершить спасбросок Телосложения, 
получая 8к8 урона холодом при провале спасбро
ска или половину этого урона при успешном 
спасброске. Существо, убитое этим заклинанием, 
становится замороженной статуей до тех пор, 
пока не растает.","Урон увеличивается на 1к8 за каждый уровень 
ячейки заклинаний выше пятого.",Действие,На себя,"Вербальный, Соматический, Материальный не расходуемый",Мгновенно
Круг силы,5,Ограждение,"Волшебник, жрец, паладин",Действие,На себя,Вербальный,"Концентрация, до 10 минут","Аура исходит от вас эманацией в радиусе 30 фу
тов на время длительности заклинания. Находясь 
в ауре, вы и ваши союзники совершаете с преиму
ществом спасброски против заклинаний и других 
магических эффектов. Если существо, находящее
ся под воздействием ауры, совершает спасбросок 
против заклинания или магического эффекта, 
который позволяет получить половину урона при 
успешном спасброске, оно не получает урона при 
успешном спасброске.",NaN,Действие,На себя,Вербальный,Концентрация больше минуты
Облако смерти,5,Вызов,"Чародей, волшебник",Действие,120 футов,"Вербальный, Соматический","Концентрация, до 10 минут","Вы создаёте сферу с радиусом 20 футов из жёл
то-зелёного тумана с центром в точке, выбранной 
вами в пределах дистанции. Туман существует 
всё время действия заклинания или до тех пор, 
пока сильный ветер (например, созданный с по
мощью заклинания Порыв ветра) не рассеет его, 
завершив заклинание. Область действия закли
нания становится сильно заслонённой.
 Каждое существо в сфере совершает спасбро
сок Телосложения, получая 5к8 урона ядом при 
неудачном спасброске или половину этого урона 
при успехе. Существо также должно совершить 
этот спасбросок, когда сфера перемещается в его 
область и когда оно входит в сферу или завер
шает свой ход в ней. Существо совершает этот 
спасбросок только один раз за ход.
 Сфера перемещается на 10 футов от вас в на
чале каждого вашего хода.","Урон увеличивается на 1к8 за каждый уровень 
ячейки заклинаний выше 5-го.",Действие,120 фт и больше,"Вербальный, Соматический",Концентрация больше минуты
Оживление вещей,5,Преобразование,"Бард, волшебник, чародей",Действие,120 футов,"Вербальный, Соматический"," Концентрация, до 1 минуты","По вашему приказу оживают предметы. Выбе
рите несколько немагических предметов в пре
делах дистанции, которые никто не несёт и не 
носит, которые не прикреплены к поверхности, и 
не громадные. Максимальное количество предме
тов равно модификатору вашей заклинательной 
характеристики. Для этого количества, средний 
или меньше предмет считается за 1, большой 
предмет считается за 2, а огромный предмет счи
тается за 3.
 Все цели оживают, у них вырастают ноги, и 
они становятся конструктами, которые использу
ют статблок Оживленного предмета (см. далее). 
Эти существа находятся под вашим контролем 
пока это заклинание активно или пока их хиты 
не уменьшатся до 0. Каждое существо, которое 
вы оживили этим заклинанием, является союз
ником для вас и ваших союзников. В бою оно 
разделяет вашу инициативу и совершает свой ход 
сразу после вас.
 Пока это заклинание активно, вы можете 
бонусным действием мысленно отдать приказ 
существу, которое оживили этим заклинанием, 
если оно находятся в пределах 500 футов от вас 
(если вы контролируете несколько существ, то вы 
можете отдавать один и тот же приказ любому 
количеству из них одновременно). Если вы не от
дадите команду, то существо будет использовать 
действие уклонение и двигаться только чтобы 
избежать вреда. Когда хиты существа опускают
ся до 0, оно возвращается в форму предмета, и 
оставшийся урон переносится на эту форму.","Урон атаки Удар увеличивается на 1к4 (у средне
го существа и меньше), 1к6 (у большого существа) 
или 1к12 (у огромного существа) за каждый уро
вень ячейки выше пятого.",Действие,120 фт и больше,"Вербальный, Соматический",Концентрация минуту и менее
Вещий сон,5,Иллюзия,"Бард, волшебник, колдун",1 минута,Особая,"Вербальный, Соматический, 
Материальный (горсть песка)",8 часов,"Вы нацеливаетесь на существо, о котором 
знаете, находящееся на том же плане существо
вания. Вы или добровольное существо, которого 
вы касаетесь, погружаетесь в состояние транса, 
чтобы выступить в роли вестника снов. Находясь 
в трансе, вестник становится недееспособным и 
имеет скорость 0.
 Если цель спит, то вестник появляется в снах 
цели и может общаться с ней, пока она остается 
в состоянии сна, в течение длительности закли
нания. Вестник также может изменять окружа
ющую среду сна, создавая пейзажи, объекты и 
другие образы. Вестник может выйти из транса 
в любой момент, что завершит действие закли
нания. Цель будет полностью помнить сон после 
пробуждения.
 Если цель бодрствует, когда вы накладываете 
заклинание, то вестник об этом узнает и мо
жет либо завершить транс (и заклинание), либо 
ждать, пока цель не уснет, после чего вестник 
войдет в ее сны.
 Вы можете сделать так, чтобы вестник выгля
дел устрашающим для цели. Если вы это сделае
те, то вестник может передать сообщение длиной 
не более десяти слов, после чего цель совершает 
спасбросок Мудрости. В случае провала, цель не 
получает пользы от своего отдыха и при пробуж
дении получает 3к6 психического урона.",NaN,1 минута,120 фт и больше,"Вербальный, Соматический, Материальный не расходуемый",Больше минуты
Подчинение личности,5,Очарование,"Бард, волшебник, чародей",Действие,60 футов,"Вербальный, Соматический"," Концентрация, до 1 минуты"," Один гуманоид, которого вы видите в пределах 
дистанции, совершает спасбросок Мудрости. Он 
делает это с преимуществом, если вы или ваши 
союзники сражаетесь с ним. В случае провала 
спасброска цель получает состояние очарованный 
до окончания действия заклинания. Когда цель 
получает урон, то повторяет спасбросок, заканчи
вая эффект заклинания на себе при успехе.
 У вас есть телепатическая связь с очарованной 
целью, пока вы оба находитесь на одном плане 
существования. В свой ход вы можете исполь
зовать эту связь, чтобы отдавать команды цели 
(действие не требуется), например, «Атакуй то 
существо», «Перемести сюда» или «Принеси тот 
предмет». Цель делает все возможное, чтобы под
чиниться в свой ход. Если она выполняет приказ 
и не получает от вас дальнейших указаний, то 
она действует и перемещается по своему усмот
рению, сосредотачиваясь на собственной защите. 
Вы можете приказать цели совершить реак
цию, но для этого вам придется использовать 
свою собственную реакцию.","Ваша концентрация может длиться дольше при 
использовании ячейки заклинаний 6 уровня (до 
10 минут), 7 уровня (до 1 часа), 8+ уровня (до 8 
часов).",Действие,60-119 фт,"Вербальный, Соматический",Концентрация минуту и менее
Связь с иным планом,5,Прорицание,"Волшебник, колдун",1 минута или ритуал,На себя,Вербальный,1 минута,"Вы мысленно связываетесь с полубогом, духом 
давно умершего мудреца или каким-либо другим 
знающим существом с другого плана. Контакт с 
этим неземным разумом может повредить ваш 
рассудок. Когда вы накладываете это заклинание, 
выполните спасбросок Интеллекта со Сл 15. В 
случае успешного спасброска вы можете задать 
существу до пяти вопросов. Вы должны задать 
все вопросы до окончания действия заклинания. 
Мастер отвечает на каждый вопрос одним сло
вом, например, «да», «нет», «возможно», «никогда», 
«неважно» или «неясно» (если существо не зна
ет ответа на вопрос). Если односложный ответ 
может ввести в заблуждение, Мастер может дать 
короткий ответ вместо одного слова.
 В случае провала спасброска вы получаете 6к6 
психического урона и становитесь недееспособ
ным до окончания продолжительного отдыха. 
Заклинание Высшее восстановление, наложенное 
на вас, завершает этот эффект.",NaN,"1 минута, Ритуал",На себя,Вербальный,Минута
Сотворение,5,Иллюзия,"Волшебник, чародей",1 минута, 30 футов,"Вербальный, Соматический, 
Материальный (кисть для краски)",Особая,"Вы зачерпываете теневую материю из Царства 
теней, чтобы создать объект в пределах дистан
ции. Этот объет может быть либо из раститель
ного материала (мягкие изделия, веревка, дерево 
и тому подобное), либо из минерального матери
ала (камень, кристалл, металл и тому подобное). 
Объект не может быть больше куба со стороной 5 
футов, и он должен быть из материала и формы, 
которые вы видели ранее.
 Длительность заклинания зависит от материала 
объекта, как указано в таблице материалов. Если 
объект состоит из нескольких материалов, ис
пользуется самая короткая длительность. Исполь
зование любого объекта, созданного этим закли
нанием, в качестве материального компонента 
для другого заклинания приводит к провалу этого 
другого заклинания.
Материал
 Растительная материя
 Камень или кристалл
 Драгоценные металлы
Драгоценные камни
 Адамантин или мифрил
 Длительность
 24 часа
 12 часов
 1 час
 10 минут
 1 минута","Куб увеличивается на 5 футов за каждую ячейку 
заклинания выше 5 уровня.",1 минута,30 фт,"Вербальный, Соматический, Материальный не расходуемый",Пока не рассеется
Обет,5,Очарование,"Бард, Жрец, Друид, Паладин, Волшебник", 1 минута,60 футов,Вербальный,30 дней,"Вы отдаёте вербальный приказ существу, ко
торое видите в пределах дистанции, приказывая 
ему выполнить некую услугу или воздержаться от 
действия или курса действий, по вашему выбору. 
Цель должна преуспеть в спасброске Мудрости, 
иначе она получает состояние очарованный на 
время действия заклинания. Цель автоматически 
преуспевает, если не понимает ваш приказ.
 Пока существо очаровано, оно получает 5к10 
урона психической энергией, если действует пря
мо противоположно вашему приказу. Этот урон 
наносится не более одного раза в день.
 Вы можете отдать любой приказ, кроме тех, 
которые приведут к неминуемой смерти. Если вы 
отдаёте самоубийственный приказ, то заклина
ние заканчивается.
 Снятие проклятия, Высшее восстановление или 
заклинание Исполнение желаний прекращают 
действие этого заклинания.","Если вы используете ячейку 7 или 8 уровня, то 
длительность увеличивается до 365 дней. Если 
вы используете ячейку 9 уровня, заклинание 
действует до тех пор, пока не будет прекращено 
одним из вышеупомянутых заклинаний.",1 минута,60-119 фт,Вербальный,Больше минуты
